Condition	Frequency	Block	Timing File	TaskObject#1	
1	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_20.0 _Dur_800.wav)
2	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_24.0 _Dur_800.wav)
3	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_28.0 _Dur_800.wav)
4	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_32.0 _Dur_800.wav)
5	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_36.0 _Dur_800.wav)
6	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_40.0 _Dur_800.wav)
7	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_44.0 _Dur_800.wav)
8	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_48.0 _Dur_800.wav)
9	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_52.0 _Dur_800.wav)
10	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_56.0 _Dur_800.wav)
11	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_0.0_MD_0.0 _RV_60.0 _Dur_800.wav)
12	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_20.0 _Dur_800.wav)
13	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_24.0 _Dur_800.wav)
14	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_28.0 _Dur_800.wav)
15	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_32.0 _Dur_800.wav)
16	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_36.0 _Dur_800.wav)
17	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_40.0 _Dur_800.wav)
18	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_44.0 _Dur_800.wav)
19	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_48.0 _Dur_800.wav)
20	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_52.0 _Dur_800.wav)
21	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_56.0 _Dur_800.wav)
22	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_12.5_MD_12.5 _RV_60.0 _Dur_800.wav)
23	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_20.0 _Dur_800.wav)
24	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_24.0 _Dur_800.wav)
25	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_28.0 _Dur_800.wav)
26	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_32.0 _Dur_800.wav)
27	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_36.0 _Dur_800.wav)
28	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_40.0 _Dur_800.wav)
29	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_44.0 _Dur_800.wav)
30	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_48.0 _Dur_800.wav)
31	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_52.0 _Dur_800.wav)
32	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_56.0 _Dur_800.wav)
33	1	1	timingfile_assr_exp2	snd(Azi_0.0_Elev_0.0_Type_3_RF_40.0_RP_25.0_MD_25.0 _RV_60.0 _Dur_800.wav)
